=== GLOBAL RESULTS ===
 DOF     Type   Status    Disp (mm / rad)   Load (kN / kN·m)
 161  theta_y     Free           0.000002              0.000
 162  theta_z     Free          -0.000389              0.000
 163      u_x     Free              6.412              0.000
 164      u_y     Free            -40.908            -80.000
 165      u_z     Free             46.657              0.000
 166  theta_x     Free          -0.000000              0.000
 167  theta_y     Free           0.000002              0.000
 168  theta_z     Free          -0.000390              0.000
 169      u_x     Free              0.178              0.000
 170      u_y     Free            -43.781           -220.000
 171      u_z     Free              0.039              0.000
 172  theta_x     Free           0.000000            326.667
 173  theta_y     Free           0.000002              0.000
 174  theta_z     Free          -0.000389              0.000
 175      u_x     Free              6.423              0.000
 176      u_y     Free            -44.031            -80.000
 177      u_z     Free             46.657              0.000
 178  theta_x     Free          -0.000000              0.000
 179  theta_y     Free           0.000002              0.000
 180  theta_z     Free          -0.000390              0.000
 181      u_x     Free              0.178              0.000
 182      u_y     Free            -46.891           -220.000
 183      u_z     Free              0.020              0.000
 184  theta_x     Free           0.000000            326.667
 185  theta_y     Free           0.000002              0.000
 186  theta_z     Free          -0.000389              0.000
 187      u_x     Free              6.438              0.000
 188      u_y     Free            -47.154            -80.000
 189      u_z     Free             46.664              0.000
 190  theta_x     Free          -0.000000              0.000
 191  theta_y     Free           0.000002              0.000
 192  theta_z     Free          -0.000390              0.000
 193      u_x     Free              0.178              0.000
 194      u_y     Free            -50.000           -220.000
 195      u_z     Free              0.000              0.000
 196  theta_x     Free           0.000000            326.667
 197  theta_y     Free           0.000002              0.000
 198  theta_z     Free          -0.000389              0.000
 199      u_x     Free              6.453              0.000
 200      u_y     Free            -50.277            -80.000
 201      u_z     Free             46.671              0.000
 202  theta_x     Free          -0.000000              0.000
 203  theta_y     Free           0.000002              0.000
 204  theta_z     Free          -0.000390              0.000
 205      u_x     Free             -0.599              0.000
 206      u_y     Free            -40.671            -80.000
 207      u_z     Free              0.059              0.000
 208  theta_x     Free           0.000000              0.000
 209  theta_y     Free           0.000002              0.000
 210  theta_z     Free          -0.000389              0.000
 211      u_x     Free             -1.376              0.000
 212      u_y     Free            -43.781            -80.000
 213      u_z     Free              0.039              0.000
 214  theta_x     Free           0.000000              0.000
 215  theta_y     Free           0.000002              0.000
 216  theta_z     Free          -0.000389              0.000
 217      u_x     Free             -2.931              0.000
 218      u_y     Free            -46.890            -80.000
 219      u_z     Free              0.020              0.000
 220  theta_x     Free           0.000000              0.000
 221  theta_y     Free           0.000002              0.000
 222  theta_z     Free          -0.000389              0.000
 223      u_x     Free             -5.264              0.000
 224      u_y    Fixed            -50.000          -4775.530
 225      u_z    Fixed              0.000          -9599.215
 226  theta_x     Free           0.000000              0.000
 227  theta_y     Free           0.000002              0.000
 228  theta_z     Free          -0.000389              0.000
 229      u_x     Free              0.034              0.000
 230      u_y    Fixed              0.000          -5035.530
 231      u_z    Fixed              0.000              0.000
 232  theta_x     Free           0.000000           -326.667
 233  theta_y     Free           0.000002              0.000
 234  theta_z     Free          -0.000393              0.000
 235      u_x     Free              6.299              0.000
 236      u_y     Free             -0.288            -80.000
 237      u_z     Free             46.654              0.000
 238  theta_x     Free          -0.000000              0.000
 239  theta_y     Free           0.000002              0.000
 240  theta_z     Free          -0.000391              0.000
 241      u_x     Free              0.051              0.000
 242      u_y     Free             -3.144           -220.000
 243      u_z     Free              0.009              0.000
 244  theta_x     Free          -0.000000           -326.667
 245  theta_y     Free           0.000002              0.000
 246  theta_z     Free          -0.000393              0.000
 247      u_x     Free              6.315              0.000
 248      u_y     Free             -3.413            -80.000
 249      u_z     Free             46.662              0.000
 250  theta_x     Free          -0.000000              0.000
 251  theta_y     Free           0.000002              0.000
 252  theta_z     Free          -0.000391              0.000
 253      u_x     Free              0.067              0.000
 254      u_y     Free             -6.287           -220.000
 255      u_z     Free              0.019              0.000
 256  theta_x     Free          -0.000000           -326.667
 257  theta_y     Free           0.000002              0.000
 258  theta_z     Free          -0.000393              0.000
 259      u_x     Free              6.331              0.000
 260      u_y     Free             -6.539            -80.000
 261      u_z     Free             46.670              0.000
 262  theta_x     Free          -0.000000              0.000
 263  theta_y     Free           0.000002              0.000
