=== GLOBAL RESULTS ===
 DOF     Type   Status    Disp (mm / rad)   Load (kN / kN·m)
 158      u_y     Free            -43.674           -436.482
 159      u_z     Free              0.651           2760.560
 160  theta_x     Free          -0.000000              0.000
 161  theta_y     Free           0.000027              0.000
 162  theta_z     Free          -0.000255              0.000
 163      u_x     Free             17.820           -220.762
 164      u_y     Free            -41.680            661.600
 165      u_z     Free             17.290           -831.293
 166  theta_x     Free          -0.000053              0.000
 167  theta_y     Free           0.000025              0.000
 168  theta_z     Free          -0.000372              0.000
 169      u_x     Free             12.545           -220.762
 170      u_y     Free            -45.503            -26.808
 171      u_z     Free              0.434          -1544.360
 172  theta_x     Free          -0.000000              0.000
 173  theta_y     Free           0.000027              0.000
 174  theta_z     Free          -0.000255              0.000
 175      u_x     Free             18.552           -220.762
 176      u_y     Free            -44.653            968.781
 177      u_z     Free             16.688           -831.293
 178  theta_x     Free          -0.000053              0.000
 179  theta_y     Free           0.000025              0.000
 180  theta_z     Free          -0.000371              0.000
 181      u_x     Free             12.545           -220.762
 182      u_y     Free            -47.704            444.577
 183      u_z     Free              0.217          -1475.183
 184  theta_x     Free          -0.000000              0.000
 185  theta_y     Free           0.000027              0.000
 186  theta_z     Free          -0.000255              0.000
 187      u_x     Free             19.544           -220.762
 188      u_y     Free            -47.624            661.600
 189      u_z     Free             16.542           -831.293
 190  theta_x     Free          -0.000053              0.000
 191  theta_y     Free           0.000025              0.000
 192  theta_z     Free          -0.000371              0.000
 193      u_x     Free             12.545           2007.590
 194      u_y     Free            -50.188             76.640
 195      u_z     Free             -0.000           -969.350
 196  theta_x     Free          -0.000000              0.000
 197  theta_y     Free           0.000027              0.000
 198  theta_z     Free          -0.000255              0.000
 199      u_x     Free             20.536           2007.590
 200      u_y     Free            -50.596           1185.990
 201      u_z     Free             16.397           -444.960
 202  theta_x     Free          -0.000053              0.000
 203  theta_y     Free           0.000025              0.000
 204  theta_z     Free          -0.000371              0.000
 205      u_x     Free             12.034              0.000
 206      u_y     Free            -43.869          -1223.118
 207      u_z     Free              0.651          -1772.387
 208  theta_x     Free          -0.000000              0.000
 209  theta_y     Free           0.000027              0.000
 210  theta_z     Free          -0.000255              0.000
 211      u_x     Free             11.523             78.611
 212      u_y     Free            -45.912          -1109.468
 213      u_z     Free              0.434          -1751.306
 214  theta_x     Free          -0.000000              0.000
 215  theta_y     Free           0.000027              0.000
 216  theta_z     Free          -0.000255              0.000
 217      u_x     Free             10.501             98.038
 218      u_y     Free            -47.956          -1327.548
 219      u_z     Free              0.217          -1682.129
 220  theta_x     Free          -0.000000              0.000
 221  theta_y     Free           0.000027              0.000
 222  theta_z     Free          -0.000255              0.000
 223      u_x     Free              8.969            830.592
 224      u_y    Fixed            -50.000           3065.451
 225      u_z    Fixed              0.000          23276.711
 226  theta_x     Free          -0.000000              0.000
 227  theta_y     Free           0.000027              0.000
 228  theta_z     Free          -0.000255              0.000
 229      u_x     Free              0.380          -2007.590
 230      u_y    Fixed              0.000           1971.117
 231      u_z    Fixed              0.000           -444.960
 232  theta_x     Free           0.000000              0.000
 233  theta_y     Free           0.000027              0.000
 234  theta_z     Free          -0.000256              0.000
 235      u_x     Free              7.751          -2007.590
 236      u_y     Free             -1.934           1185.990
 237      u_z     Free             25.197            444.960
 238  theta_x     Free          -0.000054              0.000
 239  theta_y     Free           0.000025              0.000
 240  theta_z     Free          -0.000377              0.000
 241      u_x     Free              1.535            220.762
 242      u_y     Free             -5.726           -961.600
 243      u_z     Free              1.804            831.293
 244  theta_x     Free           0.000263              0.000
 245  theta_y     Free           0.000027              0.000
 246  theta_z     Free          -0.000256              0.000
 247      u_x     Free              8.717            220.762
 248      u_y     Free             -4.953            661.600
 249      u_z     Free             25.006            831.293
 250  theta_x     Free          -0.000054              0.000
 251  theta_y     Free           0.000025              0.000
 252  theta_z     Free          -0.000377              0.000
 253      u_x     Free              2.690            220.762
 254      u_y     Free            -10.690          -1268.781
 255      u_z     Free              1.929            831.293
 256  theta_x     Free           0.000021              0.000
 257  theta_y     Free           0.000027              0.000
 258  theta_z     Free          -0.000256              0.000
 259      u_x     Free              9.684            220.762
 260      u_y     Free             -7.971            968.781
 261      u_z     Free             24.815            831.293
 262  theta_x     Free          -0.000054              0.000
 263  theta_y     Free           0.000025              0.000
 264  theta_z     Free          -0.000377              0.000
 265      u_x     Free              3.741            220.762
 266      u_y     Free            -13.525           -961.600
 267      u_z     Free              1.871            831.293
 268  theta_x     Free          -0.000007              0.000
 269  theta_y     Free           0.000027              0.000
 270  theta_z     Free          -0.000256              0.000
 271      u_x     Free             10.444            220.762
 272      u_y     Free            -10.988            661.600
 273      u_z     Free             24.263            831.293
 274  theta_x     Free          -0.000054              0.000
 275  theta_y     Free           0.000025              0.000
 276  theta_z     Free          -0.000377              0.000
 277      u_x     Free              4.792            220.762
 278      u_y     Free            -16.819          -1268.781
 279      u_z     Free              1.813            831.293
 280  theta_x     Free           0.000026              0.000
 281  theta_y     Free           0.000027              0.000
 282  theta_z     Free          -0.000256              0.000
 283      u_x     Free             11.204            220.762
 284      u_y     Free            -14.002            968.781
 285      u_z     Free             23.711            831.293
 286  theta_x     Free          -0.000054              0.000
 287  theta_y     Free           0.000025              0.000
 288  theta_z     Free          -0.000377              0.000
 289      u_x     Free              5.780            220.762
 290      u_y     Free            -19.582           -961.600
 291      u_z     Free              1.645            831.293
 292  theta_x     Free          -0.000012              0.000
 293  theta_y     Free           0.000027              0.000
 294  theta_z     Free          -0.000256              0.000
 295      u_x     Free             12.024            220.762
 296      u_y     Free            -17.013            661.600
 297      u_z     Free             23.264            831.293
 298  theta_x     Free          -0.000054              0.000
 299  theta_y     Free           0.000025              0.000
 300  theta_z     Free          -0.000376              0.000
 301      u_x     Free              6.768            220.762
 302      u_y     Free            -22.784          -1268.781
 303      u_z     Free              1.477            831.293
 304  theta_x     Free           0.000023              0.000
 305  theta_y     Free           0.000027              0.000
 306  theta_z     Free          -0.000256              0.000
 307      u_x     Free             12.844            220.762
 308      u_y     Free            -20.019            968.781
 309      u_z     Free             22.818            831.293
 310  theta_x     Free          -0.000054              0.000
 311  theta_y     Free           0.000025              0.000
