Node,DOF,Type,Prescribed displacement / rotation,Reaction
1,1,u_x,0.0,0.004
1,2,u_y,0.0,-77582.988
1,3,u_z,0.0,0.0
38,224,u_y,-50.0,82842.987
38,225,u_z,0.0,0.0
39,230,u_y,0.0,82582.988
76,452,u_y,-50.0,-77322.988
